categories,Gemma-2B-I,Phi-3-mini-128k-I,Mistral-7B-I,Gemma-7B-I,Llama-3-8B-I,best_model
Answerability Classification,91.87059555322894,61.007647798611565,97.39145697997166,86.20804620706119,85.97555210040166,Mistral-7B-I
Cause Effect Classification,88.03016308375767,68.61712852546147,94.39961584976741,85.56025954655239,85.72744359288897,Mistral-7B-I
Coreference Resolution,87.99429934365409,68.44901393141065,95.85193135057177,84.07533396141869,83.2702808550426,Mistral-7B-I
Data to Text,87.72172525525093,84.25208887024105,90.83324078942688,86.14108684659004,85.86752889022021,Mistral-7B-I
Dialogue Act Recognition,88.03835254056114,63.0711099420275,97.0390852178846,84.28236741679055,83.65900691917965,Mistral-7B-I
Grammar Error Correction,93.72315263748169,73.31277740001678,95.28507721424103,89.24811089038849,87.84132301807404,Mistral-7B-I
Keyword Tagging,86.00985424518585,71.60124702453614,88.5168167591095,84.41896057128906,83.6379215478897,Mistral-7B-I
Overlap Extraction,86.337546646595,90.08256524801254,90.68820714950562,85.40178054571152,83.8347218632698,Mistral-7B-I
Question Rewriting,91.04914350943132,73.0860627564517,93.17498169162057,87.79518278078599,86.85356040434404,Mistral-7B-I
Textual Entailment,88.42795489231746,52.79157463212808,97.06710874537627,84.7597465912501,84.40580403804779,Mistral-7B-I
Title Generation,86.66923575142704,72.59245646662183,89.42944763766394,85.44467124674055,84.4537052181032,Mistral-7B-I
Word Analogy,88.35029691457748,81.25917488336563,88.99694952368736,85.16691863536835,81.52806854248047,Mistral-7B-I
