domains,Gemma-2B-I,Phi-3-mini-128k-I,Mistral-7B-I,Gemma-7B-I,Llama-3-8B-I,best_model
Anthropology,95.36119616031647,44.45581579208374,97.21748042106628,92.74737411737442,93.21491038799286,Mistral-7B-I
Books,94.18715445200603,71.46865204970042,96.13816686471303,86.22797067960103,85.14134518305461,Mistral-7B-I
Captions,93.15506080218724,68.7384627376284,94.11082150254931,85.93077705587659,84.89724928992135,Mistral-7B-I
Code,98.87215614318848,72.85908102989197,99.10369062423706,85.25541484355927,83.26084780693054,Mistral-7B-I
Commonsense,88.76522522449494,56.64755282402039,94.03128448963166,85.53758548259735,83.59503730773926,Mistral-7B-I
Computer Science,87.57609933614731,84.95285487174988,88.92351508140564,85.5623596906662,84.23404276371002,Mistral-7B-I
Debatepedia,86.01935458183289,46.597501039505005,99.18104100227356,84.15642094612122,85.72603607177734,Mistral-7B-I
Dialogue,89.20527481405358,69.97878640576413,96.52946603298187,84.47018861143212,84.23982150931107,Mistral-7B-I
Economics,87.85427141189575,85.54637062549591,97.89733791351318,84.88441181182861,86.13983869552612,Mistral-7B-I
English Exams,93.72315263748169,73.31277740001678,95.28507721424103,89.24811089038849,87.84132301807404,Mistral-7B-I
Fiction,93.53306126594543,70.47813328674862,99.12834421225956,88.0584146635873,87.85730183124542,Mistral-7B-I
Food,86.07315427064896,80.4929718375206,93.16314697265625,84.44361209869385,84.81578344106674,Mistral-7B-I
Formal logic,93.98263931274414,80.20840966701508,99.83747088909149,84.36018669605255,84.64453566074371,Mistral-7B-I
Government and Politics,90.52092207968235,83.95706050097942,94.86797165870667,86.55661037564278,85.85909181833267,Mistral-7B-I
History,93.36022016406059,58.20134995877743,98.57624699175358,89.65843197703362,89.89283587038517,Mistral-7B-I
Justice,95.36119616031647,44.45581579208374,97.21748042106628,92.74737411737442,93.21491038799286,Mistral-7B-I
Knowledge Base,90.1451804637909,88.8305447101593,92.68671095371246,87.73290610313416,86.25772142410278,Mistral-7B-I
Law,93.24356702963512,70.7038163457598,97.77315211296082,88.25812191622597,88.60608669689724,Mistral-7B-I
Linguistics,98.87215614318848,72.85908102989197,99.10369062423706,85.25541484355927,83.26084780693054,Mistral-7B-I
Miscellaneous,87.06303468346596,47.77095466852188,96.4341018050909,85.4424429833889,84.83261555433273,Mistral-7B-I
Movies,95.1375527381897,86.13238286972046,95.8552930355072,83.95348989963531,87.33825814723969,Mistral-7B-I
Narrative,87.21491108834743,72.76428824663162,91.34975825250149,83.8053824454546,84.11957976222038,Mistral-7B-I
Natural Science,89.24545356631279,50.38688352704048,95.15166613459587,86.38914906978607,84.97833475470543,Mistral-7B-I
News,89.14002339754786,58.96714374105981,90.97197967323851,87.35405759534974,86.59194083289897,Mistral-7B-I
Nutrition,90.11228585243225,84.73219752311707,96.78809356689453,84.39270114898682,86.15589535236359,Mistral-7B-I
Professions,94.68238234519958,79.3805581331253,94.87114918231964,85.4876047372818,82.85645139217377,Mistral-7B-I
Public Places,88.961878657341,77.16515537103017,90.06793367862701,86.4312881231308,85.62887577215831,Mistral-7B-I
Reviews,87.51007231076558,80.10693363348643,89.0745000441869,86.12690595785777,85.3354726632436,Mistral-7B-I
School Science Textbooks,95.36119616031647,44.45581579208374,97.21748042106628,92.74737411737442,93.21491038799286,Mistral-7B-I
Scientific Research Papers,86.88580298423767,73.6487323641777,86.8360366821289,85.21927478909492,83.94493892788887,Gemma-2B-I
Social Media,90.87379193305969,56.947066366672516,96.02577865123749,85.43132758140564,86.05807399749756,Mistral-7B-I
Sports,80.01024081156804,86.03742764546321,89.41000058100774,81.88695430755615,84.15496670282803,Mistral-7B-I
Statistics,80.01024081156804,86.03742764546321,89.41000058100774,81.88695430755615,84.15496670282803,Mistral-7B-I
Story,88.28713147640228,59.817926907539366,92.660604596138,85.25038120746612,85.17752280235291,Mistral-7B-I
Web,90.16895359754562,70.91588413715363,94.89919778704643,86.65150061249733,86.77734324336052,Mistral-7B-I
Wikipedia,89.03357356951382,68.87844708832827,95.11898563124917,85.72006937048651,85.77580855651335,Mistral-7B-I
