domains,Gemma-2B,Mistral-7B,Gemma-7B,Llama-3-8B,Falcon-2-11B,best_model
Anthropology,92.87310725450516,79.07868105173111,91.88157975673676,93.18339878320694,92.50674068927765,Llama-3-8B
Books,92.14442658424377,63.10525663693746,86.17980829874675,89.65151210625966,87.27532390753429,Gemma-2B
Captions,92.00775781699589,74.74550110953194,87.52373128277915,86.03873731408801,86.04573219163078,Gemma-2B
Code,85.24405694007874,93.20069324970245,86.76439440250397,88.73161923885345,84.30793833732605,Mistral-7B
Commonsense,84.99558317184449,52.61688582897186,80.49568132400513,81.26196444988251,84.29346871376038,Gemma-2B
Computer Science,84.76039946079254,71.51330089569092,82.50094020366669,80.6488789319992,84.8323267698288,Falcon-2-11B
Debatepedia,91.12839996814728,80.80779612064362,76.56408905982971,87.98335862159729,87.75485265254974,Gemma-2B
Dialogue,89.14641713468652,62.177632451057434,84.72422653122952,86.32937583797856,88.16525948675056,Gemma-2B
Economics,82.16779386997223,81.27720832824707,82.92463994026184,80.2326511144638,94.22017586231232,Falcon-2-11B
English Exams,93.52245354652405,90.01625072956085,86.46538424491882,89.75740230083466,87.44526851177216,Gemma-2B
Fiction,93.21621097837176,85.00759097508022,90.10857955047062,93.25105857849121,93.38873994350433,Falcon-2-11B
Food,84.95727628469467,80.8660438656807,91.03279542922974,89.24026429653168,84.15022653341293,Gemma-7B
Formal logic,82.49408543109894,82.96885478496552,83.43527603149414,89.20744454860687,83.58244359493256,Llama-3-8B
Government and Politics,90.64743928611279,74.02471388876438,86.48420341312885,91.08760231733322,92.26605413854122,Falcon-2-11B
History,93.88753037154675,81.18663010001183,90.68234786391258,93.66271597146988,94.60338921844959,Falcon-2-11B
Justice,92.87310725450516,79.07868105173111,91.88157975673676,93.18339878320694,92.50674068927765,Llama-3-8B
Knowledge Base,89.95399296283722,79.4035793542862,84.37656497955322,85.12556326389313,87.30661046504974,Gemma-2B
Law,94.22567141056061,77.61007526942662,89.1463142974036,92.56670541422707,94.85064949726035,Falcon-2-11B
Linguistics,85.24405694007874,93.20069324970245,86.76439440250397,88.73161923885345,84.30793833732605,Mistral-7B
Miscellaneous,88.27039183676243,64.38733603060246,85.86072669923306,82.08917836844921,85.67235915362835,Gemma-2B
Movies,97.79761600494385,85.14691042900085,94.68938934803009,91.53005599975586,91.76132369041443,Gemma-2B
Narrative,85.3967466801405,64.46073585748672,81.93318194150925,75.62840421497822,85.8188841342926,Falcon-2-11B
Natural Science,84.76759341359138,77.55771026015282,81.84748324751854,86.30412125587463,91.04846772551537,Falcon-2-11B
News,88.13305595889688,70.54720145273716,79.73469180413561,86.20787790798127,87.46906229427883,Gemma-2B
Nutrition,86.15973401069641,85.17655169963837,94.78740966320038,92.12122344970703,82.84047245979309,Gemma-7B
Professions,92.13986670970917,95.7113299369812,87.32180142402649,83.65328538417816,82.80588138103485,Mistral-7B
Public Places,88.206715742747,61.10246447722117,83.4445292154948,87.58259316285451,87.28421107927959,Gemma-2B
Reviews,86.18391442298889,74.6913806994756,79.73603522777557,85.10653952757518,87.55479494730632,Falcon-2-11B
School Science Textbooks,92.87310725450516,79.07868105173111,91.88157975673676,93.18339878320694,92.50674068927765,Llama-3-8B
Scientific Research Papers,84.26324909925461,76.67983105778694,81.2804763019085,80.05813935399055,85.71997088193893,Falcon-2-11B
Social Media,85.51883506774902,84.07975363731384,78.21081697940826,89.78810495138168,91.50802880525589,Falcon-2-11B
Sports,78.81886959075928,88.06653916835785,80.50119693462665,82.60728671000554,82.64786325968228,Mistral-7B
Statistics,78.81886959075928,88.06653916835785,80.50119693462665,82.60728671000554,82.64786325968228,Mistral-7B
Story,89.48873293399811,71.6510900259018,82.20537796020508,67.79119913578033,89.2301974773407,Gemma-2B
Web,87.17609313130379,69.98120245337486,83.52973526716232,82.493193089962,90.9544946551323,Falcon-2-11B
Wikipedia,86.73627117501218,55.589760677380994,80.90014819665389,84.40734008767389,88.66161712764824,Falcon-2-11B
