reasoning,Gemma-2B,Mistral-7B,Gemma-7B,Llama-3-8B,Falcon-2-11B,best_model
,86.34695423487122,58.04519793849725,79.46301562511005,83.68059536585442,86.49316901535772,Falcon-2-11B
Abductive Reasoning,87.57676726579666,51.752339601516724,86.85639196634293,86.08287799358368,89.66630601882935,Falcon-2-11B
Analogical Reasoning,83.01695672671,77.2389804257287,83.71214649412367,83.76433344682057,81.73078812493219,Llama-3-8B
Causal Reasoning,87.00377777218819,78.88502615690231,81.19223053753376,79.85249710083008,86.89853262901306,Gemma-2B
Commonsense Reasoning,86.90685210227966,67.0840566833814,83.74992220401764,82.26477372646332,85.60525488058725,Gemma-2B
Cross-document Reasoning,94.98493641614914,63.21476900577545,88.45470052957535,80.34415692090988,92.52104842662811,Gemma-2B
Deductive Reasoning,91.13729810714722,87.34477001428604,78.62734067440033,85.61214518547058,88.21900981664658,Gemma-2B
Discrete Reasoning,94.98493641614914,63.21476900577545,88.45470052957535,80.34415692090988,92.52104842662811,Gemma-2B
Logical Reasoning,83.57804644107819,77.17240285873413,77.45933592319489,80.16497504711151,79.78426849842072,Gemma-2B
Multihop Reasoning,94.98493641614914,68.29284902602907,86.0377984046936,79.84161693898459,92.07079964876175,Gemma-2B
Numerical Reasoning,94.98493641614914,63.21476900577545,88.45470052957535,80.34415692090988,92.52104842662811,Gemma-2B
Quantitative Reasoning,88.67049435774486,77.47538475195567,83.60202340284984,78.10493326187134,86.58575582504272,Gemma-2B
Reasoning on Actions,85.02603272596996,82.1041579246521,82.07237362861633,86.79787214597066,89.72534052530925,Falcon-2-11B
Reasoning on Objects,90.78547847270966,92.75677561759949,85.99510490894318,91.6580536365509,92.65900135040283,Mistral-7B
Reasoning on Social Interactions,84.62851102011544,62.879080057144165,83.35680803230831,86.3281991992678,86.13605667863574,Llama-3-8B
Relational Reasoning,83.30612504482269,75.67985837026076,83.53020224787973,84.22230918840928,82.42978368022226,Llama-3-8B
Temporal Reasoning,94.32175517082214,50.97175316015879,89.83018660545349,84.07170220216115,92.06847635904948,Gemma-2B
Textual Entailment,88.41511857012908,72.82196029027303,82.26815192898114,83.87156118949254,87.40642114977042,Gemma-2B
