,categories,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,Answerability Classification,84.69729465704698,87.91068291664124,87.36405000319847,88.11675014862648,84.29982726390546,88.29428715048928,88.1475765154912,87.89870835267581,88.29428715048928,2_examples_without_definition
1,Cause Effect Classification,85.07288990701947,86.9137247630528,87.55491060870034,87.96447304316929,83.31690652029855,86.33425801140922,87.75247498920986,87.9980959551675,87.9980959551675,8_examples_without_definition
2,Coreference Resolution,82.42293403829846,83.92395342247826,84.12000512225288,84.21927728823253,82.55611518451146,84.28844846146447,84.61481622287205,84.69721691949027,84.69721691949027,8_examples_without_definition
3,Data to Text,86.4989611604404,86.96863606502193,87.47892682254314,87.50121968984604,85.44551716164244,87.60022469684839,88.2337406128645,88.52640675008297,88.52640675008297,8_examples_without_definition
4,Dialogue Act Recognition,84.13331772599902,86.37816257136208,86.51815356527057,86.60263182435718,80.59431166308266,82.92048534325191,84.53168969494956,84.62591597012111,86.60263182435718,8_examples_with_definition
5,Grammar Error Correction,86.31273865699768,85.84020912647247,85.85151851177216,85.69921123981476,87.44526851177216,86.49244260787964,86.3513845205307,86.497199177742,87.44526851177216,0_examples_without_definition
6,Keyword Tagging,83.21929211616516,86.02658634185791,85.77013912200928,85.99576599597931,83.52870099544525,84.99060280323029,85.13322668075561,85.21474912166596,86.02658634185791,2_examples_with_definition
7,Overlap Extraction,83.74292731285095,83.86837464570999,83.77341270446777,84.18812108039856,83.90615022182465,83.87216705083847,85.7858624458313,86.66006171703339,86.66006171703339,8_examples_without_definition
8,Question Rewriting,86.7921708172018,88.3418237512762,87.96066959337755,87.58126211166382,86.95087357000871,89.40701149810444,88.96957584944639,88.78919379277663,89.40701149810444,2_examples_without_definition
9,Textual Entailment,83.4087980389595,86.24326409896214,86.55698213974635,86.61167784035206,81.61661202212174,85.09869833787282,86.29666537991748,86.33573918987395,86.61167784035206,8_examples_with_definition
10,Title Generation,85.29028044806586,86.605582175768,86.14474279442052,86.20726168840781,85.16964776648416,85.6127242202716,85.44934314710123,85.4145124140713,86.605582175768,2_examples_with_definition
11,Word Analogy,81.14863508939743,80.52733433246613,80.60393543541431,80.66287171840668,80.43093077838421,80.21181580424309,80.11269563436508,80.11619332432747,81.14863508939743,0_examples_with_definition
