model_name,positive_examples,value_with_def,value_with_adversarial_def,percentage_difference_with_def
Gemma-2B,0,84.68878028795548,83.94143446962885,-0.8824614261600413
Mistral-7B,0,50.422051298509686,36.38619505056814,-27.836741835127203
Gemma-7B,0,81.0554203424267,78.67372850116931,-2.938349873698388
Llama-3-8B,0,82.72742397914736,78.01392643141145,-5.697623981285839
Falcon-2-11B,0,84.26623965713812,83.74977740920892,-0.612893431616951
Gemma-2B-I,0,87.79369576896062,86.73952814788282,-1.2007327084759714
Phi-3-mini-128k-I,0,55.38879916992213,24.979288285019017,-54.90191399819413
Mistral-7B-I,0,88.29053025208653,86.89746175743953,-1.577823228232424
Gemma-7B-I,0,85.14216855555581,83.8646588275307,-1.5004430233551376
Llama-3-8B-I,0,84.11190849057814,83.56871738403785,-0.6457957217807481
