,bleu,rouge1,rouge2,rougeL,meteor,bert_score_precision,bert_score_recall,bert_score_f1,best_instruction
Gemma-2B,6.381584571315191,22.03589566324329,7.88318000443483,21.234812651555647,18.119715786745587,78.21830322764752,86.41036756109663,81.88088074367792,4 examples with definition
Mistral-7B,0.2900608389581459,1.173897421352475,0.5415812793518991,1.0845912306159764,1.992559022978002,49.24772682219714,58.40833540848691,53.39537717947636,8 examples with definition
Gemma-7B,4.4223540556000245,18.17466111595157,5.887424290427375,17.493027151888576,16.13714381330704,71.85784683934024,81.0554203424267,75.94246051016185,0 examples with definition
Llama-3-8B,3.705906638655586,16.37877503993905,5.347576407575681,15.30213053047192,14.956679027560837,75.52040229264523,82.72742397914736,78.80381224648679,0 examples with definition
Falcon-2-11B,4.284534524830947,16.88495157077328,6.460776498144887,16.012664220201707,16.449800037945582,79.65209140992854,86.18402800222881,82.71845834218664,8 examples with definition
Gemma-2B-I,5.755904048675642,27.563749387232548,8.08390080459721,26.236444087548524,20.61954711408277,84.55523689338519,88.05816387510865,86.1887482440455,2 examples with definition
Phi-3-mini-128k-I,1.278527894698528,7.168789479457471,3.172634140527051,6.2648806976460705,8.046019469098837,55.46977058520721,60.28168474424943,57.71971429436343,0 examples without definition
Mistral-7B-I,14.068700395718068,51.95687966558916,14.665172425706285,50.118663844125145,35.55135410904786,91.28870191784917,93.75515058762392,92.39444160658566,8 examples with definition
Gemma-7B-I,0.9721023435061869,8.642163679311162,3.228543225999146,7.963899253636303,12.56779444414206,78.1836542866337,85.14216855555581,81.48278752835346,0 examples with definition
Llama-3-8B-I,0.9532072500062913,4.682007922696723,2.1908630730346275,4.233472503292694,8.311855545383077,74.23086540746479,84.33196614048508,78.8875382955598,8 examples without definition
